raw_file,geometry,VCASB,description
run106025255_250308040624.raw,bb0,67,align
run106025243_250308025255.raw,bb0,103,n
run106025244_250308025905.raw,bb0,100,n
run106025245_250308030516.raw,bb0,97,n
run106025246_250308031126.raw,bb0,94,n
run106025247_250308031737.raw,bb0,91,n
run106050270_250308061633.raw,bb1,67,align
run106050258_250308050309.raw,bb1,103,n
run106050259_250308050913.raw,bb1,100,n
run106050260_250308051524.raw,bb1,97,n
run106050261_250308052135.raw,bb1,94,n
run106050262_250308052745.raw,bb1,91,n
run106062333_250308074246.raw,bb2,70,align
run106062320_250308062332.raw,bb2,109,n
run106062321_250308062933.raw,bb2,106,n
run106062322_250308063533.raw,bb2,103,n
run106062323_250308064134.raw,bb2,100,n
run106062324_250308064739.raw,bb2,97,n
run106074925_250308090152.raw,bb3,61,align
run106074913_250308074925.raw,bb3,97,n
run106074914_250308075526.raw,bb3,94,n
run106074915_250308080129.raw,bb3,91,n
run106074916_250308080733.raw,bb3,88,n
run106074917_250308081333.raw,bb3,85,n
