raw_file,geometry,VCASB,description
run104230761_250306234114.raw,bb0,67,align
run104230750_250306230802.raw,bb0,100,n
run104230751_250306231113.raw,bb0,97,n
run104230752_250306231413.raw,bb0,94,n
run104230753_250306231713.raw,bb0,91,n
run104230754_250306232013.raw,bb0,88,n
run104230755_250306232313.raw,bb0,85,n
run104230756_250306232613.raw,bb0,82,n
run104230757_250306232913.raw,bb0,79,n
run104230758_250306233213.raw,bb0,76,n
run104230759_250306233513.raw,bb0,73,n
run104230760_250306233814.raw,bb0,70,n
run104230761_250306234114.raw,bb1,67,align
run104230750_250306230802.raw,bb1,100,n
run104230751_250306231113.raw,bb1,97,n
run104230752_250306231413.raw,bb1,94,n
run104230753_250306231713.raw,bb1,91,n
run104230754_250306232013.raw,bb1,88,n
run104230755_250306232313.raw,bb1,85,n
run104230756_250306232613.raw,bb1,82,n
run104230757_250306232913.raw,bb1,79,n
run104230758_250306233213.raw,bb1,76,n
run104230759_250306233513.raw,bb1,73,n
run104230760_250306233814.raw,bb1,70,n
run104230761_250306234114.raw,bb2,70,align
run104230750_250306230802.raw,bb2,103,n
run104230751_250306231113.raw,bb2,100,n
run104230752_250306231413.raw,bb2,97,n
run104230753_250306231713.raw,bb2,94,n
run104230754_250306232013.raw,bb2,91,n
run104230755_250306232313.raw,bb2,88,n
run104230756_250306232613.raw,bb2,85,n
run104230757_250306232913.raw,bb2,82,n
run104230758_250306233213.raw,bb2,79,n
run104230759_250306233513.raw,bb2,76,n
run104230760_250306233814.raw,bb2,73,n
run104230761_250306234114.raw,bb3,61,align
run104230750_250306230802.raw,bb3,94,n
run104230751_250306231113.raw,bb3,91,n
run104230752_250306231413.raw,bb3,88,n
run104230753_250306231713.raw,bb3,85,n
run104230754_250306232013.raw,bb3,82,n
run104230755_250306232313.raw,bb3,79,n
run104230756_250306232613.raw,bb3,76,n
run104230757_250306232913.raw,bb3,73,n
run104230758_250306233213.raw,bb3,70,n
run104230759_250306233513.raw,bb3,67,n
run104230760_250306233814.raw,bb3,64,n
