Detector,Threshold,Efficiency,Error
bb2,23,0.989247311827957,0.003334248140651752
bb2,16,0.9979570990806946,0.0013194166651914196
bb2,21,0.9892241379310345,0.0033414157318291116
bb2,22,0.9968051118210862,0.0017382784148628483
bb2,27,0.9792315680166147,0.004575797383455371
bb2,18,0.9978494623655914,0.0013889283263264218
bb2,17,0.9937759336099585,0.002466114255285423
bb2,19,0.9989785495403473,0.0008450066007112955
bb2,29,0.9726603575184016,0.0052795492281353384
bb2,20,0.9977578475336323,0.0014480926016493534
bb2,24,0.9885892116182573,0.0033780631680411233
bb2,26,0.9836244541484717,0.004161602522288477
bb2,15,0.9989035087719298,0.0009070861641595762
bb2,25,0.9800420168067226,0.004510970316036977
bb2,28,0.9799366420274551,0.004534642768292851
tb2,23,0.9676258992805755,0.0061255022802831904
tb2,16,0.9835680751173709,0.004319366133423985
tb2,21,0.9783653846153846,0.005019387258355601
tb2,22,0.9795918367346939,0.004736573528764998
tb2,27,0.9584352078239609,0.0069904926369523945
tb2,18,0.982122905027933,0.004399751114628869
tb2,17,0.9761904761904762,0.0053752234125712395
tb2,19,0.9901477832512315,0.0034023006980656856
tb2,29,0.9412470023980816,0.008180590114025499
tb2,20,0.9798234552332913,0.0049624001429938724
tb2,24,0.9631696428571429,0.006297581861908652
tb2,26,0.9595238095238096,0.006810059642588295
tb2,15,0.9917936694021102,0.0030215259493859836
tb2,25,0.9613196814562003,0.006512082645842465
tb2,28,0.9517490952955368,0.0074651523711301015
bb1,23,0.9739952718676123,0.005457098241245184
bb1,16,0.9882491186839013,0.0036429135948540248
bb1,21,0.9776470588235294,0.005048619557544098
bb1,22,0.9803012746234068,0.004703310509232006
bb1,27,0.941656942823804,0.00804311015570669
bb1,18,0.9919354838709677,0.0029693926940447257
bb1,17,0.9866342648845686,0.003954898730004541
bb1,19,0.9867788461538461,0.003912257133956376
bb1,29,0.9491525423728814,0.007410312060884161
bb1,20,0.9823455233291298,0.004639182891851168
bb1,24,0.9671532846715328,0.006213936193124492
bb1,26,0.9476372924648787,0.007989764628517082
bb1,15,0.9940191387559809,0.0025810005795274815
bb1,25,0.9566787003610109,0.0070768770074648435
bb1,28,0.9570917759237187,0.007010448045761231
tb1,23,0.9836779107725789,0.004148079307338404
tb1,16,0.9988610478359908,0.0009422132291924123
tb1,21,0.9943883277216611,0.0024218166624796478
tb1,22,0.9832214765100671,0.004263532835529826
tb1,27,0.9739229024943311,0.005353159334160251
tb1,18,0.9935691318327974,0.0025479610193636093
tb1,17,0.9955357142857143,0.002135349447700663
tb1,19,0.9945593035908596,0.002348090542804493
tb1,29,0.9648711943793911,0.006301935428526639
tb1,20,0.9933481152993349,0.0026354270047466155
tb1,24,0.9851767388825542,0.004041979895962111
tb1,26,0.9796126401630989,0.004492364354709566
tb1,15,1.0,0.0
tb1,25,0.9825517993456925,0.004294722575680421
tb1,28,0.9722814498933902,0.005352046387800735
