Detector,VCASB,ThresholdAverage,ThresholdRMS
tb0,106,12.5,1.5
tb0,76,28.8,1.7
tb0,73,30.4,1.7
tb0,70,32.1,1.7
tb0,67,33.7,1.7
tb0,64,35.3,1.7
tb0,103,14.0,1.7
tb0,100,15.6,1.8
tb0,97,17.2,1.8
tb0,94,19.0,1.8
tb0,91,20.7,1.7
tb0,88,22.5,1.7
tb0,85,24.1,1.7
tb0,82,25.7,1.7
tb0,79,27.3,1.7
tb1,112,12.5,1.6
tb1,82,28.8,1.8
tb1,79,30.4,1.8
tb1,76,32.0,1.8
tb1,73,34.1,1.8
tb1,70,35.7,1.8
tb1,109,13.8,1.8
tb1,106,15.4,1.9
tb1,103,17.1,1.9
tb1,100,19.4,1.9
tb1,97,20.7,1.9
tb1,94,22.8,1.9
tb1,91,24.0,1.9
tb1,88,26.1,1.8
tb1,85,27.7,1.8
tb2,115,12.6,1.5
tb2,85,29.9,1.7
tb2,82,31.5,1.7
tb2,79,33.2,1.7
tb2,76,34.8,1.7
tb2,73,36.5,1.7
tb2,112,14.0,1.7
tb2,109,15.9,1.7
tb2,106,17.7,1.7
tb2,103,19.5,1.7
tb2,100,21.3,1.7
tb2,97,23.1,1.7
tb2,94,24.9,1.7
tb2,91,26.6,1.7
tb2,88,28.1,1.7
tb3,109,11.6,1.4
tb3,79,27.4,1.8
tb3,76,29.1,1.8
tb3,73,30.8,1.8
tb3,70,32.4,1.8
tb3,67,34.1,1.8
tb3,106,12.3,1.6
tb3,103,13.7,1.8
tb3,100,15.4,1.8
tb3,97,17.2,1.8
tb3,94,18.9,1.8
tb3,91,20.6,1.8
tb3,88,22.3,1.8
tb3,85,24.1,1.8
tb3,82,25.8,1.8
bb0,103,12.3,2.0
bb0,73,27.6,2.0
bb0,70,29.2,2.0
bb0,67,30.8,2.0
bb0,64,32.4,2.0
bb0,61,33.9,2.0
bb0,100,13.8,2.0
bb0,97,15.3,2.0
bb0,94,16.9,2.0
bb0,91,18.4,2.0
bb0,88,20.0,2.0
bb0,85,21.5,2.0
bb0,82,23.1,2.0
bb0,79,24.6,2.0
bb0,76,26.1,2.0
bb1,109,9.2,1.4
bb1,79,23.8,2.0
bb1,76,25.3,2.0
bb1,73,26.9,2.0
bb1,70,28.5,2.0
bb1,67,30.1,2.0
bb1,106,10.2,1.7
bb1,103,11.5,1.9
bb1,100,12.9,2.0
bb1,97,14.4,2.0
bb1,94,16.0,2.0
bb1,91,17.6,2.0
bb1,88,19.1,2.0
bb1,85,20.7,2.0
bb1,82,22.2,2.0
bb2,109,11.8,1.9
bb2,79,26.5,2.0
bb2,76,28.1,2.0
bb2,73,29.5,2.0
bb2,70,31.1,2.0
bb2,67,32.6,2.0
bb2,106,13.2,2.0
bb2,103,14.6,2.0
bb2,100,16.2,2.0
bb2,97,17.7,2.0
bb2,94,19.2,2.0
bb2,91,20.7,2.0
bb2,88,22.2,2.0
bb2,85,23.6,1.9
bb2,82,25.1,2.0
bb3,103,9.6,1.0
bb3,73,18.8,1.6
bb3,70,19.9,1.6
bb3,67,21.0,1.6
bb3,64,22.2,1.6
bb3,61,23.2,1.6
bb3,100,10.2,1.2
bb3,97,10.9,1.4
bb3,94,11.8,1.5
bb3,91,12.7,1.6
bb3,88,13.8,1.6
bb3,85,14.7,1.6
bb3,82,15.8,1.6
bb3,79,16.7,1.6
bb3,76,17.8,1.6
