raw_file,geometry,VCASB,description
run105232965_250308000927.raw,tb0,64,align
run105232953_250307233004.raw,tb0,100,n
run105232954_250307233324.raw,tb0,97,n
run105232955_250307233644.raw,tb0,94,n
run105232956_250307233958.raw,tb0,91,n
run105232957_250307234318.raw,tb0,88,n
run106001428_250308005423.raw,tb1,70,align
run106001416_250308001427.raw,tb1,106,n
run106001417_250308001747.raw,tb1,103,n
run106001418_250308002108.raw,tb1,100,n
run106001419_250308002428.raw,tb1,97,n
run106001420_250308002748.raw,tb1,94,n
run106005816_250308013755.raw,tb2,73,align
run106005804_250308005816.raw,tb2,109,n
run106005805_250308010136.raw,tb2,106,n
run106005806_250308010456.raw,tb2,103,n
run106005807_250308010816.raw,tb2,100,n
run106005808_250308011136.raw,tb2,97,n
run106020533_250308024757.raw,tb3,67,align
run106020520_250308020532.raw,tb3,106,n
run106020521_250308020845.raw,tb3,103,n
run106020522_250308021159.raw,tb3,100,n
run106020523_250308021519.raw,tb3,97,n
run106020524_250308021834.raw,tb3,94,n
