raw_file,geometry,VCASB,description
run104230761_250306234114.raw,tb0,64,align
run104230750_250306230802.raw,tb0,97,n
run104230751_250306231113.raw,tb0,94,n
run104230752_250306231413.raw,tb0,91,n
run104230753_250306231713.raw,tb0,88,n
run104230754_250306232013.raw,tb0,85,n
run104230755_250306232313.raw,tb0,82,n
run104230756_250306232613.raw,tb0,79,n
run104230757_250306232913.raw,tb0,76,n
run104230758_250306233213.raw,tb0,73,n
run104230759_250306233513.raw,tb0,70,n
run104230760_250306233814.raw,tb0,67,n
run104230761_250306234114.raw,tb1,70,align
run104230750_250306230802.raw,tb1,103,n
run104230751_250306231113.raw,tb1,100,n
run104230752_250306231413.raw,tb1,97,n
run104230753_250306231713.raw,tb1,94,n
run104230754_250306232013.raw,tb1,91,n
run104230755_250306232313.raw,tb1,88,n
run104230756_250306232613.raw,tb1,85,n
run104230757_250306232913.raw,tb1,82,n
run104230758_250306233213.raw,tb1,79,n
run104230759_250306233513.raw,tb1,76,n
run104230760_250306233814.raw,tb1,73,n
run104230761_250306234114.raw,tb2,73,align
run104230750_250306230802.raw,tb2,106,n
run104230751_250306231113.raw,tb2,103,n
run104230752_250306231413.raw,tb2,100,n
run104230753_250306231713.raw,tb2,97,n
run104230754_250306232013.raw,tb2,94,n
run104230755_250306232313.raw,tb2,91,n
run104230756_250306232613.raw,tb2,88,n
run104230757_250306232913.raw,tb2,85,n
run104230758_250306233213.raw,tb2,82,n
run104230759_250306233513.raw,tb2,79,n
run104230760_250306233814.raw,tb2,76,n
run104230761_250306234114.raw,tb3,67,align
run104230750_250306230802.raw,tb3,97,n
run104230751_250306231113.raw,tb3,94,n
run104230752_250306231413.raw,tb3,91,n
run104230753_250306231713.raw,tb3,88,n
run104230754_250306232013.raw,tb3,85,n
run104230755_250306232313.raw,tb3,82,n
run104230756_250306232613.raw,tb3,79,n
run104230757_250306232913.raw,tb3,76,n
run104230758_250306233213.raw,tb3,73,n
run104230759_250306233513.raw,tb3,70,n
run104230760_250306233814.raw,tb3,67,n
