raw_file,geometry,VCASB,description
run105195958_250307203938.raw,bb0,67,align
run105195946_250307195957.raw,bb0,103,n
run105195947_250307200317.raw,bb0,100,n
run105195948_250307200637.raw,bb0,97,n
run105195949_250307200958.raw,bb0,94,n
run105195950_250307201318.raw,bb0,91,n
run105210025_250307214025.raw,bb1,67,align
run105210013_250307210024.raw,bb1,103,n
run105210014_250307210344.raw,bb1,100,n
run105210015_250307210704.raw,bb1,97,n
run105210016_250307211024.raw,bb1,94,n
run105210017_250307211344.raw,bb1,91,n
run105215029_250307223338.raw,bb2,70,align
run105215016_250307215029.raw,bb2,109,n
run105215017_250307215349.raw,bb2,106,n
run105215018_250307215709.raw,bb2,103,n
run105215019_250307220029.raw,bb2,100,n
run105215020_250307220349.raw,bb2,97,n
run105224252_250307232237.raw,bb3,61,align
run105224240_250307224251.raw,bb3,97,n
run105224241_250307224611.raw,bb3,94,n
run105224242_250307224931.raw,bb3,91,n
run105224243_250307225251.raw,bb3,88,n
run105224244_250307225606.raw,bb3,85,n
